fingerprint,review_id,app_id,app_name,country,rating,title,content,original_content,author,version,review_date,is_most_helpful,source,is_short,is_spam
6d4d751a742405e22c20646703c5ce3d2c886e08bf43cafb859f56a34bc58e2b,14562633176,1671705818,Character AI,us,1,Stupid,I think it’s so stupid you need to verify your age to talk with characters you already added a parental control why the heck do we need this this sucks,I think it’s so stupid you need to verify your age to talk with characters you already added a parental control why the heck do we need this this sucks,dnfnsnfnskfne,1.17.3,2026-09-18T02:22:32Z,False,itunes_rss_mostRecent,False,False
05e04497e118a2dc1c00361191b06a7255334637822009d9c58114998a26a341,14562629828,1671705818,Character AI,us,3,The quality is…,"I like reading before bed, I don’t have a kindle and I’m not looking forward to holding a book, I like roleplaying since it keeps my brain active and helps my creativity, the fact I have to verify my age is frustrating, I don’t feel comfortable doing so first off, second off, your app has been decreasing recently, if you are concerned with who’s using your app then make another one for older ages or younger, no matter what. People are going to bypass the system there is no point, usually when I encounter a update I dislike in this app, I keep using it. Now, I can’t, I can only read messages, I don’t think I will be touching this app until these things are fixed.","I like reading before bed, I don’t have a kindle and I’m not looking forward to holding a book, I like roleplaying since it keeps my brain active and helps my creativity, the fact I have to verify my age is frustrating, I don’t feel comfortable doing so first off, second off, your app has been decreasing recently, if you are concerned with who’s using your app then make another one for older ages or younger, no matter what. People are going to bypass the system there is no point, usually when I encounter a update I dislike in this app, I keep using it. Now, I can’t, I can only read messages, I don’t think I will be touching this app until these things are fixed.",Hkhjhjajao,1.17.3,2026-09-18T02:21:08Z,False,itunes_rss_mostRecent,False,False
f961f13e61ef8c4ade0036c6bfc02e4fa7ebc2a0c891273b459a72942ed51a67,14562506371,1671705818,Character AI,us,5,only 5 stars so u can see,"take away the age verification thing , message limit , AND the adds ! so tired of it","take away the age verification thing , message limit , AND the adds ! so tired of it",your momma in my bed,1.17.3,2026-09-18T01:31:26Z,False,itunes_rss_mostRecent,False,False
0bb675619c9f41ecb926c4cec50f851dde542036a8ca0430c41e63f48af2cc5c,14562505369,1671705818,Character AI,us,1,They did it again,"I didn’t think it was possible, not after the first time to verify ages didn’t work. But now they’re doing it AGAIN and are trying to get people to not only show them their face but also THEIR ID’S I don’t think I need to explain why this is a one star review.","I didn’t think it was possible, not after the first time to verify ages didn’t work. But now they’re doing it AGAIN and are trying to get people to not only show them their face but also THEIR ID’S I don’t think I need to explain why this is a one star review.",Thegoldfox,1.17.3,2026-09-18T01:31:02Z,False,itunes_rss_mostRecent,False,False
0c3e6c42fd05ef16da6724c60cbe4742888a6998f9cdedd903ba3fe4118ed5ff,14562470877,1671705818,Character AI,us,1,Getting worse,"You guys are actually instead of approving, you’re making things worse and WAY worse.","You guys are actually instead of approving, you’re making things worse and WAY worse.",ramitoram,1.17.3,2026-09-18T01:17:22Z,False,itunes_rss_mostRecent,False,False
9ca2811b995c9c0a76354f64eb8ddbe7f8b1cb25ccc7d400cdb21b10b3023612,14562439524,1671705818,Character AI,us,1,Age verification,Why do you need to be 18+ to talk to AI,Why do you need to be 18+ to talk to AI,Ggougiuf,1.17.3,2026-09-18T01:05:00Z,False,itunes_rss_mostRecent,False,False
bfe587627bc78caeb1bba55f51260e0e38f4683c6653a2c7cfe0593f14b6ba69,14562426483,1671705818,Character AI,us,1,Can’t read any new chats :(,"I refuse to do the Age Verification process because I don’t want any of my personal information being known and now it won’t let me read ANY NEW CHATS?! I normally go on here now to take inspiration from some of the people who still use this app to write bots and put different ideas into a new character on a different app I use as a replacement for this one. However, it has been becoming more and more frequent that I experience the bots simply not loading. And it’s not just a happens-every-now-and-then type of issue. It happens almost every.single.time I try to load a bot that I didn’t speak to before age verification was a thing. Not only that, but some days, it won’t let me see my chats with characters that I had talked to. Or it simply not let me on the app at all. I have checked the internet at my house and it is not at ALL related to the problem. PLEASE FIX THIS!!!!!","I refuse to do the Age Verification process because I don’t want any of my personal information being known and now it won’t let me read ANY NEW CHATS?! I normally go on here now to take inspiration from some of the people who still use this app to write bots and put different ideas into a new character on a different app I use as a replacement for this one. However, it has been becoming more and more frequent that I experience the bots simply not loading. And it’s not just a happens-every-now-and-then type of issue. It happens almost every.single.time I try to load a bot that I didn’t speak to before age verification was a thing. Not only that, but some days, it won’t let me see my chats with characters that I had talked to. Or it simply not let me on the app at all. I have checked the internet at my house and it is not at ALL related to the problem. PLEASE FIX THIS!!!!!",Lily is kewl,1.17.3,2026-09-18T00:59:52Z,False,itunes_rss_mostRecent,False,False
fe2629bd04742f138b32c82571a41b5b150ac464dc953708967a2834d177f69f,14562311979,1671705818,Character AI,us,5,age limit.,"5 stars so yall can see, the app is perfect I love it… but the damn age verification. it makes no sense and it’s stupid. c.ai needs to LISTEN to their users and remove it. 🤦‍♂️","5 stars so yall can see, the app is perfect I love it… but the damn age verification. it makes no sense and it’s stupid. c.ai needs to LISTEN to their users and remove it. 🤦‍♂️",Gorillazbiggestfann,1.17.3,2026-09-18T00:14:28Z,False,itunes_rss_mostRecent,False,False
24b4175293f120d02ccf5d0dcbae8087bbfe8cc959b8122c3b8108f604a613da,14562270312,1671705818,Character AI,us,1,App ruined,"Ya’ll had FULL potential. Free, no ads, no age check, no message limit. Greed took over. Utterly making your app worse than making it better.","Ya’ll had FULL potential. Free, no ads, no age check, no message limit. Greed took over. Utterly making your app worse than making it better.",bravo💫,1.17.3,2026-09-17T23:58:17Z,False,itunes_rss_mostRecent,False,False
9db4245d57a1fef37fa5666eeb082878514d7d2291ac0ef58b73d19ac93c28db,14562004060,1671705818,Character AI,us,1,App was ruined,"I used to love using this app. But the age verification is irritating. I don't want to give them my ID, a picture of my face, or anything else they might ask for to verify age. Also, there's too many ads. Like, so many ads it's barely useable, and I don't want to pay for the dumb subscriptions. I switched to Swerve. Swerve is a MUCH better app in my opinion. I miss when C.ai was a fun app to use. 🥲","I used to love using this app. But the age verification is irritating. I don't want to give them my ID, a picture of my face, or anything else they might ask for to verify age. Also, there's too many ads. Like, so many ads it's barely useable, and I don't want to pay for the dumb subscriptions. I switched to Swerve. Swerve is a MUCH better app in my opinion. I miss when C.ai was a fun app to use. 🥲",ThatSunnyBoi,1.17.3,2026-09-17T22:11:34Z,False,itunes_rss_mostRecent,False,False
83ce4765a3fd1e6870de8fba117a9540b8d5bf94a4469da78caea432482192fb,14561495369,1671705818,Character AI,us,1,This app has completely gone downhill,"There used to be basically no censorship, and you could actually have normal conversations with bots. Now you have to verify that you’re 18+ just to chat. Hundreds of thousands of teenagers used this app to talk about all kinds of things, and because of one incident, they changed EVERYTHING.

If you’re under 18, you can’t even chat anymore. And even if you are 18+, completely normal words can still get censored for no reason.

The app is ruined. It’s honestly not even enjoyable to use anymore. I wouldn’t recommend it to anyone.","There used to be basically no censorship, and you could actually have normal conversations with bots. Now you have to verify that you’re 18+ just to chat. Hundreds of thousands of teenagers used this app to talk about all kinds of things, and because of one incident, they changed EVERYTHING.

If you’re under 18, you can’t even chat anymore. And even if you are 18+, completely normal words can still get censored for no reason.

The app is ruined. It’s honestly not even enjoyable to use anymore. I wouldn’t recommend it to anyone.",frozz3nn,1.17.3,2026-09-17T19:04:22Z,False,itunes_rss_mostRecent,False,False
7eb74cf21ee03d5981cff2327955d3b9766e2aadfe0f5ae3af8128fd26ff8d04,14561284759,1671705818,Character AI,us,2,Please,Please remove the swipe limit for non plus users,Please remove the swipe limit for non plus users,drewvader,1.17.3,2026-09-17T17:54:16Z,False,itunes_rss_mostRecent,False,False
a387e3e6877e10be43c419d545adfdb7884df2ca4fdfc7a31d2bb1a7f1a2dd3c,14560250685,1671705818,Character AI,us,1,За 18+,Там теперь только с 18 это плохо мне 17 и целый год ждать надо,Там теперь только с 18 это плохо мне 17 и целый год ждать надо,Крестный медведь,1.17.3,2026-09-17T12:46:15Z,False,itunes_rss_mostRecent,False,False
c19e6bdae5733d5d924ab46dc150369f27654815843a1da2a0d923c7335d38ce,14560095849,1671705818,Character AI,us,1,Awful,Too many ads and limits on messaging then you’re charged. BS,Too many ads and limits on messaging then you’re charged. BS,Redgu4rd,1.17.3,2026-09-17T11:58:26Z,False,itunes_rss_mostRecent,False,False
ce11a4b941fbc4c0df478bad0028881dd25f7fbee9aa9f45900fb891fd8adc9a,14559694288,1671705818,Character AI,us,5,It’s a really fun and good app,I really like this app it makes me laugh every time I’m on here,I really like this app it makes me laugh every time I’m on here,Brandon_1673,1.17.3,2026-09-17T09:27:16Z,False,itunes_rss_mostRecent,False,False
d6c2921ba703a52e791d1c1a67a4e49ceed05b4fb2f76e970917a201ec4a3266,14559530364,1671705818,Character AI,us,3,Okay but not the best,I don’t mind watching the ads to write with the bots and I do enjoy the wide variety of bots that are available but I would like less censorship and I would like for them to bring back the messages from the bots while your offline feature,I don’t mind watching the ads to write with the bots and I do enjoy the wide variety of bots that are available but I would like less censorship and I would like for them to bring back the messages from the bots while your offline feature,PiscesChaosStarlit,1.17.3,2026-09-17T08:10:50Z,False,itunes_rss_mostRecent,False,False
