fingerprint,review_id,app_id,app_name,country,rating,title,content,original_content,author,version,review_date,is_most_helpful,source,is_short,is_spam
2b6585b247ae1c597d2faf3f15ee98ec31f6ca8ed7327e37a9c03f2a42d7e89f,6377328488,335187483,Amazon,gb,5,Double login doesn’t work!,"Whilst I understand the need to improve security I fail to see how an inability to login at all will help your business. I cannot login via the app but can via the website since the application was updated, its frustrating to say the least. The process of OTP and character entries and confirmation of my card details is clunky at best. Something you know, something you have and something are works best.","Whilst I understand the need to improve security I fail to see how an inability to login at all will help your business. I cannot login via the app but can via the website since the application was updated, its frustrating to say the least. The process of OTP and character entries and confirmation of my card details is clunky at best. Something you know, something you have and something are works best.",Martyboyp,15.16.0,2020-08-30T13:26:35Z,True,itunes_rss_mostHelpful,False,False
ff55153f797311601cd875db3dbf1dddca98d5a2976375d174165912a21f8c8e,6356301229,335187483,Amazon,gb,4,Has issues,"It’s a pretty good app but it does have some issues. It usually freezes when I’m going through product customisation options (size, colour, etc) and I’m completely unable to view second-hand offers since it just wont open.","It’s a pretty good app but it does have some issues. It usually freezes when I’m going through product customisation options (size, colour, etc) and I’m completely unable to view second-hand offers since it just wont open.",nicknames are weirdchamp,15.16.0,2020-08-24T16:46:26Z,True,itunes_rss_mostHelpful,False,False
efe638a7e2293cd30785e927e5b3af0205c7b8d71c5981498c4ed5ae373fe215,6346130190,335187483,Amazon,gb,3,Looks nothing like the screenshots,There seem to be different versions of the app appearance despite everyone being on the same version number. For ages mine remained dark whilst my OHs was light and with a more spaced out UI. Now I have the same version as he has. I used to feel left out but now I wish I had the previous version. There’s so much window chrome getting in the way. It’s annoying and would be better if it was fixed to the base of the screen.,There seem to be different versions of the app appearance despite everyone being on the same version number. For ages mine remained dark whilst my OHs was light and with a more spaced out UI. Now I have the same version as he has. I used to feel left out but now I wish I had the previous version. There’s so much window chrome getting in the way. It’s annoying and would be better if it was fixed to the base of the screen.,LabGeek,15.16.0,2020-08-21T20:10:56Z,True,itunes_rss_mostHelpful,False,False
09ba798d8f6110c96005f2f88d1b1339f89c87d62f3aa30223ced8a2b374da26,6322129365,335187483,Amazon,gb,5,I really enjoy this app,"I like this app. It’s good and easy to manage with your orders. Easy to contact customer service from the app. It helps you to track your order, get notifications and easy to return the items. It’s easy to pay once you have setup one click payment. Can see your past orders. It’s really helpful. I really like this app and really enjoy to do shopping from this app.","I like this app. It’s good and easy to manage with your orders. Easy to contact customer service from the app. It helps you to track your order, get notifications and easy to return the items. It’s easy to pay once you have setup one click payment. Can see your past orders. It’s really helpful. I really like this app and really enjoy to do shopping from this app.",Ravi Multani,15.15.0,2020-08-15T12:30:07Z,True,itunes_rss_mostHelpful,False,False
3429f6aa5d7de0f3ccfdc7ae912fbb420723c86c8f59effe1cc691fdaf77b269,6321898371,335187483,Amazon,gb,3,New app not great.,Some aspects of the new app are ok. I don’t like how it seems less stable then the previous style. Since the update when I move to the lightning deal at least half of the time it changes to a blank page. This is annoying. On the upside I’ve spent less moment as I get annoyed and move off the app. I like banner at the bottom but hate that it obscure the content. Also hate the next button. When looking for items I get bored having to press the next button then wait for it too load. So once again annoying and I look elsewhere.,Some aspects of the new app are ok. I don’t like how it seems less stable then the previous style. Since the update when I move to the lightning deal at least half of the time it changes to a blank page. This is annoying. On the upside I’ve spent less moment as I get annoyed and move off the app. I like banner at the bottom but hate that it obscure the content. Also hate the next button. When looking for items I get bored having to press the next button then wait for it too load. So once again annoying and I look elsewhere.,24b.l.4eva.,15.15.0,2020-08-15T11:14:17Z,True,itunes_rss_mostHelpful,False,False
ef149fc953f22dfbb6e8b7795a59456a7e6fa5f3b74f80f3f48f919de3b431e2,6295683262,335187483,Amazon,gb,3,Does what it’s supposed to. But could be better.,"Reviewed: 8 Aug 2020 on iPhone XS Max

Likes:
- it just works, simple to operate and simple to actually buy things (and monitor the progress of deliveries),
- on the user interface there’s now a menu that hovers at the bottom so one can reach: ‘home’, Your Account, Basket and Menu options within reach of ones thumb if using single-handed...

Dislikes:
- however, the Search bar is still right at the top unfortunately,
- still no dark mode,
- there seems to links all over the place, maybe there’s a way to have a hovering menu that provides easier access to: customer reviews, similar items, product details, etc,
- would be nice to have an option for a ‘dark mode’ icon,
- does not swivel around to work in landscape orientation,
- no widget to see at a glance progress of deliveries, or items in basket, or items in wish list  (for example),
- no option to lock the app with Touch ID or Face ID (e.g. for those times when the iPhone is being used by the youngest kids).

Thanks","Reviewed: 8 Aug 2020 on iPhone XS Max

Likes: 
- it just works, simple to operate and simple to actually buy things (and monitor the progress of deliveries), 
- on the user interface there’s now a menu that hovers at the bottom so one can reach: ‘home’, Your Account, Basket and Menu options within reach of ones thumb if using single-handed...

Dislikes: 
- however, the Search bar is still right at the top unfortunately, 
- still no dark mode, 
- there seems to links all over the place, maybe there’s a way to have a hovering menu that provides easier access to: customer reviews, similar items, product details, etc, 
- would be nice to have an option for a ‘dark mode’ icon, 
- does not swivel around to work in landscape orientation, 
- no widget to see at a glance progress of deliveries, or items in basket, or items in wish list  (for example), 
- no option to lock the app with Touch ID or Face ID (e.g. for those times when the iPhone is being used by the youngest kids). 

Thanks",Marranello,15.15.0,2020-08-08T17:43:20Z,True,itunes_rss_mostHelpful,False,False
a39ad174f1bef16d2d1213c484393a10731f70f838d8a450aae020d5dbb6aa10,6284286410,335187483,Amazon,gb,4,Almost 5 stars!,"I love how easy the app is in terms of searching and purchasing.

The only one thing the app lacking is the background function.

It would be nice if you could see the app with a black background just to make it easier on the eyes especially when browsing after hours. Even if it’s locked on black rather than white, it makes life a lot easier 👍","I love how easy the app is in terms of searching and purchasing.

The only one thing the app lacking is the background function.

It would be nice if you could see the app with a black background just to make it easier on the eyes especially when browsing after hours. Even if it’s locked on black rather than white, it makes life a lot easier 👍",Bagzy88 XD,15.15.0,2020-08-05T21:00:31Z,True,itunes_rss_mostHelpful,False,False
6368f3b88e8d3e399b8bba5e2af50b570128190c14a24cce8f0228f22532c2d0,6264726966,335187483,Amazon,gb,5,Great,"Great app. Love the update except for one thing. Favourites, where have all my favourites that I saved, planned purchases, really not happy about this and now each time I add something it takes the previous one out. Can you please restore the favourites list to what it was please. Other than that really love the app.","Great app. Love the update except for one thing. Favourites, where have all my favourites that I saved, planned purchases, really not happy about this and now each time I add something it takes the previous one out. Can you please restore the favourites list to what it was please. Other than that really love the app.",Dizzy66blonde,15.15.0,2020-07-31T21:21:26Z,True,itunes_rss_mostHelpful,False,False
8176a9e41a8f5e33f7148573a139f1ee1d84c1322de113cc1d70208b1afd0eff,6258451553,335187483,Amazon,gb,5,Don’t like new update,The app was fine the way it was. Now this green look and having the basket at the bottom and everything made in huge fonts isn’t doing it for me. App was fine with the look from before.,The app was fine the way it was. Now this green look and having the basket at the bottom and everything made in huge fonts isn’t doing it for me. App was fine with the look from before.,emgee28,15.15.0,2020-07-30T08:02:29Z,True,itunes_rss_mostHelpful,False,False
5803e8e978c29724236713bd9e285336e56be0581dcfc9eee9e8c5b07e7a96d3,6258046259,335187483,Amazon,gb,2,Much less user friendly update,This new update is horrible. Why does the menu hover over everything instead of sitting nicely at the top like it used to? Why also does the hamburger menu button then display a list of options in a stupid sized font in unpredictable alignment with no visible separation between options. The old version was so much more intuitive. Please have a word with your developers who’ve obviously just learnt a new skill and wanted to show it off to the detriment of the users.,This new update is horrible. Why does the menu hover over everything instead of sitting nicely at the top like it used to? Why also does the hamburger menu button then display a list of options in a stupid sized font in unpredictable alignment with no visible separation between options. The old version was so much more intuitive. Please have a word with your developers who’ve obviously just learnt a new skill and wanted to show it off to the detriment of the users.,Zombviewer,15.15.0,2020-07-30T05:12:11Z,True,itunes_rss_mostHelpful,False,False
